,lat,lon,objectid,treeid,height,spread,diameter,notes,scientific,common,state_id,site_address,date_height,date_spread,circumf,date_circumference,year_designated,date_desig,ownership,neighborhood,neighborhood_cd,plaque_adjustment_date,plaque_notes
1,45.51672923,-122.6840138,1,1,85,107,48,This tree was planted in front of the home of Martin and Rosetta Burrell in 1870 and is thus known as the 'Burrell Elm'.,Ulmus americana,American elm,1S1E04AA  6200,1111 SW 10th AVE,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,12.8,2018/08/10 00:00:00+00,1973,1973/01/01 00:00:00+00,Private,DOWNTOWN,17,2018/08/10 00:00:00+00,
2,45.51716693,-122.6825746,2,2,63,95,54,This tree was planted beside the Sylvester Farrell house in 1880.,Platanus x acerifolia,London planetree,1S1E04AA  2100,NW/C SW PARK & SW MAIN ST,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,14.3,2018/08/10 00:00:00+00,1975,1975/01/01 00:00:00+00,Right Of Way,DOWNTOWN,17,2018/08/10 00:00:00+00,New plaque 2018
3,45.53442499,-122.6506587,3,3,74,61,60,"This tree is at the corner of NE 15th Ave and NE Weidler St, in an open patio area. It was planted near the George Nicolai home in the 1890s.",Liriodendron tulipifera,Tulip tree,1N1E26DC  13500,1403 NE WEIDLER ST,2018/09/05 00:00:00+00,2018/09/05 00:00:00+00,15.7,2018/09/05 00:00:00+00,1993,1993/01/11 00:00:00+00,"Private, Side Yard, Corner Lot",LLOYD DISTRICT,37,2018/09/05 00:00:00+00,
4,45.5073902,-122.631848,4,4,45,59,59,This tree is known as the Picnic Oak and is on the west side of the lot between SE Lincoln St and SE Grant St.,Quercus garryana,Oregon white oak,1S1E01CD  1600,2137 SE 32nd PL,2018/08/24 00:00:00+00,2018/08/24 00:00:00+00,15.3,2018/08/24 00:00:00+00,1993,1993/01/11 00:00:00+00,"Private, Side Yard",RICHMOND,54,2018/08/24 00:00:00+00,
5,45.51798031,-122.6945953,5,5,102,58,39,"This tree is located in a built out planter at the intersection and is believed to have been planted sometime in the late 19th century by Henry Miller, one of Portland's first florists.",Pinus nigra,Austrian pine,1S1E04BA 6800,COR JEFFERSON & SW 20TH,2019/09/10 19:44:00+00,2019/09/10 19:44:09+00,10.6,2019/09/10 19:44:14+00,1993,1993/01/11 00:00:00+00,Right Of Way (Trimet),GOOSE HOLLOW,23,2019/09/10 21:08:51+00,"Replaced nails with new hardware (screws, washers and springs)"
6,45.51782196,-122.6947724,6,6,85,79,59,This tree is at the corner of SW Howards Way and SW 20th Ave.,Cedrus libani ssp. libani,Cedar of Lebanon,1S1E04BA9 70000,2024 SW HOWARDS WAY,,,15.4,,1993,1993/01/11 00:00:00+00,"Private, Side Yard",GOOSE HOLLOW,23,,
7,45.53896908,-122.5589969,7,7,85,71,88,This tree is at the end of the street.,Fagus sylvatica,European beech,1N2E28DA  700,10115 NE THOMPSON ST,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,23.1,2018/08/10 00:00:00+00,1994,1994/01/26 00:00:00+00,"Right Of Way, Unimproved",PARKROSE HEIGHTS,48,2018/08/10 00:00:00+00,
8,45.57698179,-122.7181737,8,8,94,111,66,This tree is on the east side of the lot between N Stafford St and N Syracuse St.,Quercus garryana,Oregon white oak,1N1E17BB  100,7168 N OLIN AVE,2018/09/19 00:00:00+00,2018/09/19 00:00:00+00,17.2,2018/09/19 00:00:00+00,1994,1994/01/26 00:00:00+00,"Right Of Way, Unimproved",UNIVERSITY PARK,64,2018/09/19 00:00:00+00,New plaque 2018
9,45.5131152,-122.6972742,9,9,100,105,81,"This tree is deep in the front yard, but is still very visible, it was planted in the early 1920s by Dr. A.S. Nichols.",Quercus rubra,Northern red oak,1S1E04BD  12100,1961 SW VISTA AVE,,,21.15,,1994,1994/01/26 00:00:00+00,"Private, Front Yard",SOUTHWEST HILLS,60,,
10,45.53198958,-122.6984673,10,10,80,108,61,"This tree is on the west end of the address block, around the corner on NW Overton.",Quercus garryana,Oregon white oak,1N1E33BB  900,1310-1338 NW 23RD AVE,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,16.1,2018/08/10 00:00:00+00,1994,1994/01/26 00:00:00+00,"Private, Side Yard",NORTHWEST DISTRICT,45,2018/08/10 00:00:00+00,"Has two plaques, one on public street side and the other towards building"
11,45.51973186,-122.7007055,11,11,80,55,60,south side between SW 23rd Ave and Washington Park,Liriodendron tulipifera,Tulip tree,1N1E33CC  6900,2390 SW MADISON ST,,,15.6,,1994,1994/01/26 00:00:00+00,"Private, Front Yard",GOOSE HOLLOW,23,,
12,45.52646925,-122.6905173,12,14,89,63,59,This tree is in the southeast corner of Couch Park. It is perhaps the largest Cucumber Tree in the city. It was planted around 1900 on the estate of Cicero Horatius Lewis who owned the only house ever to be built on this block (in 1879-80). The house wa*,Magnolia acuminata,Cucumber tree,1N1E33AC  8200,1961 NW GLISAN ST,2019/09/10 16:01:55+00,2019/09/10 16:01:37+00,16.3,2019/09/10 16:01:46+00,1994,1994/03/23 00:00:00+00,Portland Parks & Recreation (Couch Park),NORTHWEST DISTRICT,45,2019/09/10 21:11:31+00,Good condition 
13,45.49213861,-122.6307621,13,15,101,105,61,"This tree is at the end of SE 33rd Pl, where it runs into Kenilworth Park.",Platanus occidentalis,American sycamore,1S1E12CD  11000,HOLGATE & SE 32ND AVE,2018/09/06 00:00:00+00,2018/09/06 00:00:00+00,16.1,2018/09/06 00:00:00+00,1994,1994/03/23 00:00:00+00,"Right Of Way, Unimproved",CRESTON-KENILWORTH,15,2018/09/06 00:00:00+00,
14,45.46587278,-122.6492572,14,16,88,102,69,"This tree is a variety of European Beech known as a Copper Beech, Fagus sylvatica f. purpurea and was planted in 1892",Fagus sylvatica f. purpurea,Copper beech,1S1E23DB  17200,1579 SE NEHALEM ST,2018/08/31 00:00:00+00,2018/08/31 00:00:00+00,18.1,2018/08/31 00:00:00+00,1994,1994/03/23 00:00:00+00,"Private, Front Yard",SELLWOOD-MORELAND,57,2018/08/31 00:00:00+00,
15,45.49319897,-122.6334452,15,17,112,87,61,south side between SE 31st Ave and SE 32nd Ave,Liriodendron tulipifera,Tulip tree,1S1E12CD  6600,3104 SE GLADSTONE ST,2018/09/06 00:00:00+00,2018/09/06 00:00:00+00,16.5,2018/09/06 00:00:00+00,1994,1994/03/23 00:00:00+00,"Private, Front Yard",CRESTON-KENILWORTH,15,2018/09/06 00:00:00+00,
16,45.48423326,-122.6245777,16,18,91,53,36,This tree was planted by Joseph A. Manning in the early 1920s.,Pinus radiata,Monterey pine,1S1E13AD  12700,5330 SE 37TH AVE,2018/09/06 00:00:00+00,2018/09/06 00:00:00+00,9.7,2018/09/06 00:00:00+00,1994,1994/03/23 00:00:00+00,Right of Way,REED,53,2018/09/06 00:00:00+00,
17,45.55852428,-122.6859828,17,19,95,110,84,"This tree is on the north side of the lot, between N Denver Ave and N Concord Ave.",Quercus garryana,Oregon white oak,1N1E21AD  2900,1815 N HUMBOLDT ST,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,22.1,2018/08/10 00:00:00+00,1994,1994/03/23 00:00:00+00,"Private, Front Yard",OVERLOOK,47,2018/08/10 00:00:00+00,New plaque 2018
18,45.47945864,-122.6272983,18,20,89,93,70,"This tree is on the Reed College Campus, adjacent to the sidewalk, across the street from 3436 SE Woodstock Blvd.",Quercus velutina,Black oak,1S1E13    100,3203 SE WOODSTOCK BLVD,2018/08/10 00:00:00+00,2018/08/10 00:00:00+00,18.44,2018/08/10 00:00:00+00,1994,1994/06/22 00:00:00+00,Private (Reed Campus),REED,53,2018/08/10 00:00:00+00,
19,45.47134818,-122.6535421,19,21,77,93,63,This tree is on the south side of the lot between SW 11th Ave and SW 13th Ave.,Quercus garryana,Oregon white oak,1S1E23BD  1600,1224 SE SELLWOOD BLVD,2018/08/31 00:00:00+00,2018/08/31 00:00:00+00,16.5,2018/08/31 00:00:00+00,1994,1994/06/22 00:00:00+00,"Private, Front Yard",SELLWOOD-MORELAND,57,2018/08/31 00:00:00+00,
20,45.46907328,-122.659165,20,22,64,88,41,"This tree is located in Sellwood Park, adjacent to the entrance gate at Malden & 7th Ave.",Betula nigra,River birch,1S1E23    300,7951 SE 7TH AVE,2019/09/03 16:32:49+00,2019/09/03 16:15:13+00,10.6,2019/09/03 16:08:04+00,1994,1994/06/22 00:00:00+00,Portland Parks & Recreation,SELLWOOD-MORELAND,57,2019/09/03 21:13:06+00,Good condition 
